FileName	Kap_1_F	Kap_2_F	Kap_3_F	Kap_4_F	Kap_5_F	Kap_6_F	Kap_7_F	Kap_8_F	Kap_9_F	Kap_10_F
2018_05_02_15_27_22_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.026158e-10
2018_05_02_15_27_31_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.711609e-11
2018_05_02_15_27_40_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.407455e-11
2018_05_02_15_27_47_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.330950e-11
2018_05_02_15_31_26_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.737841e-11
2018_05_02_15_31_34_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.055708e-10
2018_05_02_15_31_43_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.471239e-11
2018_05_02_15_34_21_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.432587e-11
2018_05_02_15_34_25_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	8.909048e-11
2018_05_02_15_34_31_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	8.599397e-11
2018_05_02_15_34_36_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.470049e-11
2018_05_02_15_34_42_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.266546e-11
2018_05_03_11_47_47_m002	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10
2018_05_03_11_48_09_m002	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.610641e-10
2018_05_03_11_48_23_m002	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	3.796839e-10
2018_05_03_11_49_34_m002	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10
2018_05_03_11_49_50_m002	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.549571e-10
