Ladekurvenmessung
Zeit: 2018_05_04 09.03.03
Info: FVA3, v = 0.749, T = 23, F = 20, h = 374.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3
146	-0.001005	-0.00232	-0.003799
147	-0.000347	-0.002977	-0.001498
148	0.000803	-0.003306	-0.000183
149	-0.002977	-0.000347	-0.003142
150	-0.001334	-0.001169	-0.000183
151	0.00031	0.00031	-0.001991
152	-0.001334	-0.003306	-0.001498
153	-0.001827	-0.000841	-0.001662
154	-0.000347	-0.005443	-0.002813
155	-0.000183	-0.001662	-0.002977
156	-0.003799	-0.003963	-0.003635
157	-0.001498	-0.002648	-0.001662
158	-0.000512	-0.003142	-0.005114
159	-0.001169	-0.000676	-0.002155
160	-0.004785	0.003761	-0.002648
161	-0.002484	-0.002484	-0.000347
162	-0.00232	-0.000841	-0.004456
163	-0.002648	-0.00232	-0.003142
164	-0.002977	-0.000676	-0.001334
165	-0.001169	-0.001334	-0.00232
166	-0.001169	-0.001005	-0.001827
167	-0.000512	-0.001498	0.000146
168	-0.002155	-0.002155	0.000146
169	0.000803	-0.001169	-0.001169
170	-0.001991	-0.00347	0.000803
171	-0.000512	-0.000347	-0.001169
172	0.002611	-0.001169	-0.001334
173	-0.001498	-0.002484	-0.000347
174	0.000146	-0.001498	-0.000183
175	-0.001005	-0.000183	-0.001169
176	-0.000512	-0.001662	-0.003963
177	-0.001334	-0.000512	-0.002484
178	-0.000183	-0.001498	-0.001498
179	-0.002813	0.00031	-0.000676
180	0.000474	-0.001169	-0.000841
181	-0.001334	-0.000841	-0.00232
182	0.000967	0.000639	-0.002155
183	-0.002813	0.002118	0.002447
184	0.003268	-0.002648	-0.000841
185	-0.001498	0.00146	0.001625
186	-0.000676	-0.002155	-0.001334
187	-0.001005	-0.001827	-0.00232
188	-0.001991	-0.002813	-0.003799
189	0.000146	-0.002155	-0.001662
190	-0.002648	-0.000512	-0.000676
191	-0.002484	-0.001498	-0.000676
192	-0.00232	-0.001169	-0.002648
193	-0.002155	-0.000183	-0.000676
194	-0.000512	-0.004621	-0.001334
195	-1.9e-05	-0.001169	-0.000841
196	-0.001991	-0.001662	0.00031
197	0.000803	-0.002155	-0.002648
198	-0.001991	-0.001169	0.001132
199	-0.000841	-0.002155	-0.002484
200	-0.001169	0.00031	-0.000512
201	-0.000841	-0.001334	-0.000841
