Ladekurvenmessung
Zeit: 2018_05_03 11.57.03
Info: FVA3, v = 1.05, T = 60, F = 20, h = 289.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16
97	0.002282	-0.016619	-0.004456	-0.002648	-0.000183	-0.001991	-0.002484	-0.006429	0.00146	-0.004949	-0.012181	-0.003963	0.001296	-0.003635	-0.004621	-0.006922
98	-0.002648	-0.015304	-0.001334	-0.005114	-0.003142	-0.000512	0.001296	-0.007744	-0.000841	-0.005114	-0.00988	-0.000676	0.002282	-0.001498	-0.003799	-0.005278
99	-1.9e-05	-0.01251	-0.004292	0.000146	-0.000841	0.000639	-0.000676	-0.001662	-0.001169	-0.003306	-0.007908	0.00031	0.001954	-0.005936	-0.004456	-0.006922
100	-1.9e-05	-0.014153	-0.000347	0.00031	-0.001169	-0.001991	-0.000841	-0.003635	-0.003799	-0.003963	-0.010538	-0.002977	0.000146	-0.001991	-0.003306	-0.003963
101	0.000967	-0.013825	-0.004456	-0.00347	-0.002155	-0.002484	-0.001498	-0.004621	-0.000841	-0.002648	-0.013332	-0.001498	0.001296	-0.005443	-0.004785	-0.007579
102	-0.001169	-0.013167	-0.005278	0.00146	-0.006264	-0.003635	-0.004621	0.000474	-0.003799	-0.004292	-0.011852	-0.002648	0.001132	-0.001662	-0.005114	-0.008072
103	-0.002648	-0.015633	-0.003142	-0.003635	-0.001498	-0.001498	-0.004292	-0.000512	-0.001662	-0.003635	-0.010373	-0.005114	0.00031	-0.001334	-0.003963	-0.008237
104	-1.9e-05	-0.006757	-0.002155	-0.002484	-0.002977	0.001789	-0.000841	-0.001991	-0.001005	-0.001827	-0.014318	-0.002155	0.000474	-0.003635	-0.003306	-0.005443
105	-0.000512	-0.013496	-0.00347	-0.001334	-0.002977	-0.00232	-0.002813	-0.000512	-0.004949	-0.001662	-0.010702	-0.00232	0.00146	-0.003142	-0.005443	-0.005114
106	-0.000841	-0.011195	-0.00347	-0.005443	-0.000512	0.00031	0.00146	-0.001662	-0.005278	-0.000512	-0.009716	0.000146	-0.000676	-0.002484	-0.001005	-0.008072
107	-0.001005	-0.011852	-0.001827	-0.002648	0.002282	-0.000183	0.000474	-0.000512	-0.002977	-0.001169	-0.009551	-0.003142	0.001954	-0.004949	-0.006429	-0.004785
108	0.000639	-0.010373	-0.001827	-0.001827	-0.001827	-0.002484	0.000146	-1.9e-05	-0.004949	0.002282	-0.016619	-0.00232	-0.001005	-0.00347	-0.004456	-0.005443
109	-0.002155	-0.00988	0.00294	-0.006922	-0.000841	0.001132	-0.004128	-0.003306	-0.00232	-0.000512	-0.013825	-0.001827	0.001625	-0.003306	-0.005771	-0.004456
110	0.000146	-0.008565	-0.00232	-0.003142	-0.00347	-0.001334	0.00031	0.000146	-0.002977	0.000146	-0.011195	0.001789	0.000474	-0.003306	-0.007744	-0.004292
111	-0.001498	-0.014318	-0.005114	-0.001334	-0.001827	-0.001334	-0.001498	-0.001991	-0.001827	-0.002484	-0.00988	-0.00347	0.002775	-0.001827	-0.006429	0.002611
112	-0.000512	-0.012346	-0.002648	-0.005114	-0.002977	-0.001662	-0.00232	0.000146	-0.001827	0.00294	-0.011031	-0.004949	0.006884	-0.004949	-0.0061	0.001132
113	0.001296	-0.012346	-0.000841	0.004255	-0.003306	-0.003306	-0.001334	0.000474	-0.002484	-0.001662	-0.009387	-0.002977	0.001132	-0.00232	-0.007744	0.004912
114	-0.001662	-0.010538	-0.002813	-0.00725	-0.001498	-0.001827	-0.00347	-0.004785	-0.000841	-0.003142	-0.00988	-0.001334	-1.9e-05	0.001132	-0.009716	0.001132
115	0.002775	-0.010538	0.001296	-0.003799	-0.002484	0.003761	-0.00232	-0.002813	-0.003799	-0.004949	-0.012674	-0.003635	0.003268	-0.006429	-0.007415	0.002118
