Ladekurvenmessung
Zeit: 2018_05_03 13.53.46
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18
63	-0.001498	-0.008072	0.005569	0.005405	-1.9e-05	0.012637	-0.007415	-0.002484	0.001954	-0.000512	-0.004456	-0.001005	0.023156	0.01691	-0.014975	-0.003306	-0.004128	0.004748
64	-0.000183	-0.010866	0.007377	0.006556	-0.000841	0.010007	-0.0061	-0.001991	0.003433	-0.00347	-0.006593	0.000803	0.023156	0.01691	-0.017112	0.000474	-0.001005	0.005076
65	0.00031	-0.008072	0.005405	0.008857	0.001625	0.01313	-0.006757	-0.004785	0.006884	0.001132	-0.00347	0.000639	0.023813	0.018061	-0.017441	0.00031	-0.000347	0.004583
66	-0.000347	-0.00873	0.005241	0.006556	0.001132	0.0105	-0.006429	-0.002648	0.004912	-0.001005	-0.010209	0.002447	0.023484	0.019211	-0.017934	0.00146	0.001954	0.003104
67	-0.003963	-0.00988	0.006556	0.00787	-0.007086	0.009021	-0.004456	-0.005771	0.003926	-0.001005	-0.009058	-0.000841	0.022827	0.018882	-0.017769	0.001296	-0.004785	0.004912
68	-0.001005	-0.004621	0.00672	0.006062	-0.001334	0.012472	-0.004785	-0.003306	0.008692	0.003597	-0.010373	-0.005114	0.026443	0.018389	-0.016619	0.001954	-0.007908	0.003268
69	0.001296	-0.007744	0.006062	0.007213	0.002611	0.011651	-0.004456	-0.003963	0.00787	-0.004128	-0.009223	-0.001169	0.024142	0.022005	-0.020728	0.003268	-0.007744	0.004583
70	-0.001662	-0.004785	0.007542	0.005241	0.001789	0.011322	-0.003306	-0.004128	0.009678	-0.000512	-0.009716	-0.002484	0.023649	0.019211	-0.023357	0.006062	-0.010702	0.003433
71	-0.000841	-0.001498	0.005898	0.008363	0.001954	0.012472	-0.004621	-0.006593	0.00787	0.000967	-0.011031	-0.002648	0.023813	0.020362	-0.0227	0.002775	-0.012181	0.004419
72	-0.000183	-0.007086	0.007049	0.006227	0.000803	0.011815	-0.00347	-0.004128	0.011979	0.001625	-0.012839	-0.002648	0.021841	0.018225	-0.020235	0.005076	0.00031	0.005405
73	-0.002648	-0.00347	0.005734	0.006884	0.003597	0.010993	-0.004621	-0.004292	0.006391	0.00294	-0.009716	-0.002977	0.023813	0.020526	-0.023357	0.001954	-0.001498	0.005898
74	-0.000512	-0.003963	0.00409	0.00672	0.00146	0.013623	-0.004785	-0.005114	0.008857	0.002118	-0.011359	-0.005114	0.022169	0.018061	-0.020892	0.001296	-0.005936	0.003433
75	-0.000183	-0.001662	0.005405	0.007706	0.003761	0.010829	-0.003142	-0.003306	0.007706	-0.000183	-0.012017	-0.004621	0.01954	0.02069	-0.0227	-0.001334	-0.004456	0.008692
76	-0.001169	-0.001334	0.006062	0.007542	0.004748	0.00935	-0.000512	-0.004292	0.010171	0.000474	-0.008237	-0.005443	0.018225	0.021512	-0.023029	-0.000183	-0.006429	0.004255
