x-axis,y_1,y_2
Hz,Cp,D 
33422.500000,9.174202E-12,6.027270E-02
33670.000000,9.099596E-12,6.269407E-02
33917.500000,8.892082E-12,4.695112E-02
34165.000000,9.053715E-12,6.314034E-02
34412.500000,8.989992E-12,4.569060E-02
34660.000000,9.062913E-12,5.268519E-02
34907.500000,9.061410E-12,6.378725E-02
35155.000000,9.048688E-12,5.039479E-02
35402.500000,9.077589E-12,5.762279E-02
35650.000000,8.998983E-12,5.966856E-02
35897.500000,9.010276E-12,3.535535E-02
36145.000000,9.094247E-12,6.297457E-02
36392.500000,9.055976E-12,5.171990E-02
36640.000000,9.027843E-12,5.403578E-02
36887.500000,8.922090E-12,5.243388E-02
37135.000000,8.993754E-12,5.593279E-02
37382.500000,9.095975E-12,5.331362E-02
37630.000000,9.104556E-12,4.639157E-02
37877.500000,9.016848E-12,5.205176E-02
38125.000000,9.041987E-12,5.744772E-02
38372.500000,9.038032E-12,6.456483E-02
38620.000000,9.038437E-12,4.921289E-02
38867.500000,8.991459E-12,5.679644E-02
39115.000000,8.983508E-12,6.512216E-02
39362.500000,8.956877E-12,4.954968E-02
39610.000000,9.091354E-12,6.779534E-02
39857.500000,8.900858E-12,5.938150E-02
40105.000000,9.114135E-12,6.379854E-02
40352.500000,8.982172E-12,4.808386E-02
40600.000000,9.033602E-12,5.396783E-02
40847.500000,8.923780E-12,5.444344E-02
41095.000000,8.946227E-12,4.483641E-02
41342.500000,8.967561E-12,5.632704E-02
41590.000000,8.952933E-12,5.985980E-02
41837.500000,8.904526E-12,5.902697E-02
42085.000000,8.999912E-12,5.485494E-02
42332.500000,8.939535E-12,6.202441E-02
42580.000000,8.977156E-12,5.665420E-02
42827.500000,8.952511E-12,4.879964E-02
43075.000000,9.081505E-12,5.296770E-02
43322.500000,8.892176E-12,5.359983E-02
43570.000000,9.085039E-12,5.476055E-02
43817.500000,8.906075E-12,6.368716E-02
44065.000000,9.000253E-12,5.367172E-02
44312.500000,9.011152E-12,6.165394E-02
44560.000000,8.965322E-12,5.730360E-02
44807.500000,8.985560E-12,5.488916E-02
45055.000000,8.999019E-12,6.591681E-02
45302.500000,8.973077E-12,5.964833E-02
45550.000000,9.004712E-12,5.898127E-02
45797.500000,8.948646E-12,5.998153E-02
46045.000000,8.935861E-12,6.079862E-02
46292.500000,9.005677E-12,5.407558E-02
46540.000000,8.942344E-12,5.759586E-02
46787.500000,8.922922E-12,6.661410E-02
47035.000000,9.001295E-12,6.492246E-02
47282.500000,8.920152E-12,6.157364E-02
47530.000000,8.912777E-12,6.762672E-02
47777.500000,9.046301E-12,5.533275E-02
48025.000000,8.906507E-12,5.739951E-02
48272.500000,8.892100E-12,7.302684E-02
48520.000000,8.942697E-12,6.775398E-02
48767.500000,8.904240E-12,6.293795E-02
49015.000000,8.877334E-12,6.377859E-02
49262.500000,8.921802E-12,5.966852E-02
49510.000000,8.867457E-12,5.882194E-02
49757.500000,8.916482E-12,6.273641E-02
50005.000000,8.989213E-12,5.581949E-02
