Ladekurvenmessung
Zeit: 2018_05_03 11.58.28
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
70	-0.000347	-0.003306	0.004419	-0.000676	-0.001005	-0.002648	-0.050148	0.015266	-0.012017	-0.002813	0.000474	0.001132	0.02332	-0.01892	0.006391
71	-1.9e-05	-0.002813	0.008692	-0.001662	-0.001498	-0.001662	-0.047025	0.01428	-0.012839	-0.004292	0.00031	-0.000347	0.023484	-0.017276	-1.9e-05
72	-0.002648	-0.004292	0.00672	-0.003142	0.000474	-0.003963	-0.047025	0.009843	-0.010538	-0.002977	-0.001334	-0.001662	0.026936	-0.01366	0.000474
73	-0.000676	-1.9e-05	0.00672	-0.001991	0.000146	-0.001498	-0.046367	0.012637	-0.01251	-0.002155	0.000146	-0.002155	0.02447	-0.013003	0.000146
74	-0.002977	-0.001169	0.010829	0.000474	-0.001169	0.001954	-0.043245	0.00935	-0.012181	-0.000512	-0.005443	0.000146	0.024635	-0.015961	0.000146
75	-0.003142	-0.002484	0.010007	-0.001005	-0.001169	-0.001662	-0.042258	0.010664	-0.011359	-0.00232	-0.001498	-0.005443	0.025457	-0.011852	-0.001662
76	0.00409	0.001625	0.00787	-0.000676	-0.001827	-0.001169	-0.0393	0.010993	-0.01251	-0.001169	-0.000347	0.001132	0.028908	-0.013496	0.000146
77	-0.004292	-0.000841	0.015595	0.000146	-0.001991	-0.009716	-0.039136	0.007542	-0.015961	-0.001334	-0.001827	-0.005771	0.029237	-0.015633	0.001789
78	-0.000183	0.000146	0.011486	-0.000841	-0.000676	-0.001991	-0.036342	0.010171	-0.018262	0.000474	0.000474	0.000967	0.030059	-0.012674	-0.002155
79	0.002118	-0.001169	0.012965	-1.9e-05	-0.004621	-0.002813	-0.033712	0.008692	-0.015468	-0.000841	0.000803	0.001625	0.033017	-0.01366	-0.002155
80	0.000639	0.003268	0.013952	-0.00232	-0.002648	-0.00347	-0.039136	0.005569	-0.01629	0.000474	-0.000841	-0.000512	0.031702	-0.014975	-0.004292
81	-0.002484	-0.005607	0.014116	0.002118	-1.9e-05	-0.004949	-0.031082	0.006227	-0.017769	-0.001334	-0.000676	0.002611	0.035482	-0.01251	-0.002484
82	-1.9e-05	0.00409	0.013952	-0.001334	-0.002484	-0.001005	-0.029274	0.011651	-0.018591	0.001132	-0.000347	-0.000347	0.032524	-0.011688	-0.002484
83	-0.003635	-0.001991	0.013459	-0.000347	-0.001827	-0.002648	-0.030096	0.005405	-0.019249	-0.000183	-0.001498	-0.000183	0.037948	-0.01366	-0.00232
84	-0.00347	-0.000512	0.013623	0.001954	0.004419	-0.003306	-0.028288	0.009843	-0.021878	-0.000841	0.001132	0.001789	0.036962	-0.010209	-0.00347
85	-0.001827	-0.000183	0.012801	0.002282	-0.000183	0.002447	-0.021385	0.007706	-0.018591	-0.00232	-0.002484	-0.000512	0.038769	-0.011359	-0.000676
86	-0.001334	-0.000183	0.012144	-0.001005	-0.001334	-0.000841	-0.020399	0.009678	-0.019084	0.000639	-0.000512	0.00031	0.038769	-0.010209	-0.006922
