Ladekurvenmessung

Zeit: 2018_05_03 11.58.49

Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
71	0.011651	-0.001005	0.010007	-0.018427	0.00294	-0.000512	0.005898	-0.014647	0.033674	-0.000676	-0.002155	0.00146	0.006884	0.003268	-0.019906
72	0.011815	0.000967	0.013294	-0.019084	0.00031	-0.001498	0.00672	-0.012839	0.035482	-0.003963	-0.002484	-0.010209	0.009514	0.007213	-0.019906
73	0.015924	-0.001827	0.009185	-0.018262	0.000146	-0.005443	0.005569	-0.012674	0.035318	-0.001827	-0.004128	-0.000183	0.011651	0.009514	-0.01892
74	0.00935	0.000474	0.013459	-0.017276	-0.004292	-0.002977	0.006884	-0.011031	0.035647	0.00146	-0.012346	0.002118	0.013952	0.007706	-0.019906
75	0.011486	-0.00232	0.008692	-0.019577	-0.004621	-0.00347	0.006556	-0.012674	0.031867	-0.003306	-0.005936	0.004912	0.012472	0.010664	-0.022043
76	0.012637	-0.001827	0.011815	-0.014153	-0.004785	-0.002977	0.009514	-0.00988	0.02973	-0.002155	-0.006757	0.000639	0.017567	0.007377	-0.020563
77	0.008363	-0.000347	0.009514	-0.014482	-0.004456	-0.000512	0.007049	-0.012674	0.033181	-0.000512	-0.005936	-0.002155	0.016417	0.005898	-0.019742
78	0.009678	-0.003799	0.008199	-0.016783	-0.005771	-0.00347	0.004583	-0.011524	0.029566	-0.001827	-0.002484	0.000474	0.021183	0.007213	-0.020235
79	0.011815	0.001132	0.009021	-0.013332	-0.003963	-0.002813	0.008035	-0.011359	0.031209	-0.001662	-0.006757	-0.004621	0.021841	0.004255	-0.019413
80	0.010007	-0.002484	0.009514	-0.018098	-0.005278	0.00294	0.004748	-0.011524	0.030552	-0.002813	0.00031	-0.002155	0.024635	0.004419	-0.019906
81	0.00787	-0.001662	0.006227	-0.014975	-0.003142	-0.002155	0.004583	-0.004621	0.029237	-0.003635	-0.001334	0.00031	0.02447	0.003433	-0.027138
82	0.006227	-0.001991	0.005569	-0.014153	-0.005114	-0.003306	0.002775	-0.010866	0.024306	-0.001827	-0.00347	0.000803	0.026771	0.00146	-0.023193
83	0.005569	-0.006264	0.015924	-0.015468	-0.004785	-0.001498	0.005898	-0.008894	0.02447	-0.003963	0.000639	0.000639	0.029072	0.002282	-0.022207
84	0.008363	-0.003963	0.00935	-0.014482	-0.001991	-0.004456	0.003433	-0.009551	0.021348	-0.00232	-0.001334	-0.002813	0.028251	0.005405	-0.025165
85	0.00146	-0.003963	0.008035	-0.013167	-0.001662	-0.000841	0.005734	-0.0061	0.020033	-0.002813	-1.9e-05	-0.002648	0.029237	0.003433	-0.019742
86	0.001954	-0.007579	0.00935	-0.015468	-0.004785	-0.000512	0.003597	-0.010538	0.015924	-0.001334	-0.003306	-0.001005	0.030552	0.003926	-0.017441
87	0.002282	-0.005936	0.005898	-0.000841	-0.001827	-0.001991	0.008035	-0.00347	0.018882	-0.00232	-0.000841	-0.001991	0.034989	0.001625	-0.021385
88	0.004748	-0.0061	0.00672	-0.004292	-0.000841	-0.000841	0.00672	-0.013003	0.019868	0.001625	-0.00232	-0.000512	0.031867	0.001789	-0.020728
89	-0.001991	-0.004621	0.008528	-0.006593	-0.003963	-0.002977	0.004912	-0.009223	0.016581	-0.000347	-0.004128	-0.001498	0.035318	0.000803	-0.023686
90	-0.000183	-0.005936	0.006556	-0.0061	-0.002813	-0.003963	0.006227	-0.011852	0.012965	-0.001005	-0.005443	0.00294	0.033674	0.004748	-0.023522
