Ladekurvenmessung

Zeit: 2018_05_03 14.52.24

Info: SHC320, v = 0.428, T = 40, F = 20, h = 390.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12
72	-0.001827	0.000639	0.001296	0.002775	0.00409	-0.008401	0.001625	0.003597	-0.001991	0.000967	0.002282	-0.004456
73	0.000967	0.002282	0.001789	0.001132	0.008528	-0.000347	-0.000183	0.002118	0.006062	0.003597	0.000639	-0.00347
74	0.000967	-0.000347	0.000803	0.001954	0.006227	0.000967	-0.001005	0.001954	0.005734	0.001789	0.002447	-0.003142
75	0.001132	0.007049	0.001625	0.00146	0.005076	0.000146	-0.000676	-0.000347	0.004583	0.007542	0.000146	-0.00347
76	-0.000841	-0.000841	-0.000183	0.004255	0.007213	-0.000347	-1.9e-05	-0.00232	0.000639	0.006391	-0.010045	-0.005443
77	0.000146	0.002775	0.004583	0.00146	0.004255	0.002611	0.001789	0.002775	0.00409	0.007542	-0.001169	-0.001334
78	-0.001334	0.003433	0.007213	0.003268	0.006884	0.001954	0.001954	0.003433	-0.001498	0.002118	-0.000347	-0.002155
79	-0.000512	0.00409	0.003761	0.003268	-0.00232	0.000474	0.000474	-0.005278	-1.9e-05	0.004419	-0.000347	-0.001662
80	-0.001334	0.004583	0.003761	0.001954	0.00146	-0.000841	0.000803	-0.00232	0.001954	0.004419	0.000803	-0.002813
81	-0.000676	-0.000512	0.005076	0.002118	-0.003963	0.002447	0.003268	-0.001005	0.00146	0.000803	-0.007086	0.00294
82	0.001132	0.00409	0.00672	0.002282	0.000803	0.00031	0.002447	0.002282	-0.000183	0.002447	-0.001991	-0.001005
83	-0.008072	-0.000183	0.003926	0.001296	-0.003963	0.004748	0.003268	-0.000841	-1.9e-05	0.003433	0.001132	-0.000676
84	-0.005771	0.001789	0.006062	0.001954	-0.002155	-0.002155	0.00294	0.00409	0.000146	0.003433	0.000146	0.00031
85	0.004255	0.000803	0.005405	-0.000183	-0.001334	0.001296	-0.000347	0.00409	0.001625	0.002775	0.002775	-0.000183
86	-0.001662	0.003104	0.008035	0.00146	-1.9e-05	-0.001498	0.003597	0.003926	0.00146	0.007049	0.001296	-0.002813
87	0.002775	-0.00232	0.006391	0.002282	-0.000512	0.000146	-0.002155	-0.001169	-0.000676	0.005076	0.000639	-0.001334
88	0.001625	0.00409	0.005241	-0.000347	0.002775	0.001132	0.000803	0.001132	-0.001991	0.004583	0.000146	0.000474
89	-0.000512	0.000474	0.006227	0.00146	0.005076	0.001132	-0.000347	0.000146	-1.9e-05	0.002282	0.002447	-0.002977
90	0.000474	0.002118	0.00294	0.001296	0.003268	-0.005771	-0.000183	0.000639	-0.000183	0.001954	-0.002484	-0.001662
91	0.000146	0.003433	0.002447	0.00031	0.004255	-0.001005	0.000639	-0.001169	0.000474	0.001132	0.001954	0.00031
92	-0.001334	0.003761	0.000967	-0.000183	0.004912	0.005569	0.000639	-0.001827	0.001296	0.000803	0.002282	0.002282
93	-0.000676	0.001954	0.003761	0.00146	0.007542	0.00146	0.003926	0.001625	-0.000183	0.003433	0.004912	-1.9e-05
94	-0.002484	0.000803	0.006062	-0.003799	0.00146	0.003926	-0.001334	-0.004949	-0.000512	0.002447	0.008692	0.005076
95	0.002611	0.003597	0.000146	0.00031	0.003433	0.000803	-1.9e-05	0.001296	0.000639	0.002282	0.001132	0.001789
96	0.00031	0.003597	-1.9e-05	0.000474	0.002118	0.001296	0.00294	0.001296	0.002118	0.002447	0.000146	-0.000676
97	0.003761	0.002775	-1.9e-05	0.003104	0.004255	-0.00232	0.004583	-1.9e-05	0.001132	0.003433	0.00031	0.001132
98	0.001625	0.000474	-0.000183	0.000639	-0.000183	0.001954	0.00146	-0.000676	0.002775	0.001132	-0.000347	-0.000841
99	0.005076	-0.001005	-0.000183	-0.000512	-1.9e-05	0.001625	0.005569	0.004748	-0.001169	-1.9e-05	-0.00725	0.001296
100	0.001132	0.000474	-0.000183	0.001954	0.001296	0.003268	0.000803	0.000803	-0.001662	0.002447	-0.004292	-1.9e-05
101	0.000474	0.001132	0.001789	0.000967	0.00294	-0.001169	-1.9e-05	0.002447	-0.002484	0.00294	-0.006593	0.000803
102	0.004419	-0.000841	0.000146	0.001625	-0.000347	0.007706	0.003761	-0.002813	0.000146	0.000146	-0.00347	-0.001498
103	0.000146	0.001296	-1.9e-05	-0.001169	-0.000183	0.001296	0.000146	0.003268	0.002447	-0.000676	-0.001827	0.001296
