Ladekurvenmessung

Zeit: 2018_05_02 15.03.35

Info: FVA3, v = 0.0215, T = 40, F = 20, h = 45.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1
1450	0.128347
1451	0.127327
1452	0.127196
1453	0.126505
1454	0.126801
1455	0.127755
1456	0.127558
1457	0.129893
1458	0.128216
1459	0.127952
1460	0.12917
1461	0.129992
1462	0.131209
1463	0.130519
1464	0.131571
1465	0.133611
1466	0.130255
1467	0.134105
1468	0.137131
1469	0.135223
1470	0.134335
1471	0.135618
1472	0.130848
1473	0.136473
1474	0.13496
1475	0.128775
1476	0.130058
1477	0.13065
1478	0.132723
1479	0.133512
1480	0.132262
1481	0.134401
1482	0.136901
1483	0.135684
1484	0.13927
1485	0.136769
1486	0.139171
1487	0.138085
1488	0.138217
1489	0.137921
1490	0.137296
1491	0.136835
1492	0.134269
1493	0.128051
1494	0.12259
1495	0.117063
1496	0.113937
1497	0.116833
1498	0.110483
1499	0.107094
1500	0.101304
1501	0.107062
1502	0.103936
1503	0.100219
1504	0.10012
1505	0.100317
1506	0.101831
1507	0.10262
1508	0.097389
1509	0.093935
1510	0.089625
1511	0.091237
1512	0.08979
1513	0.081367
1514	0.082815
1515	0.085973
1516	0.08696
1517	0.084723
1518	0.084559
1519	0.087816
1520	0.08673
1521	0.091435
1522	0.093935
1523	0.093935
1524	0.090415
1525	0.09683
1526	0.097389
1527	0.098936
1528	0.097587
1529	0.099232
1530	0.099791
1531	0.10285
1532	0.102324
1533	0.103476
1534	0.094428
1535	0.10012
1536	0.099232
1537	0.10239
1538	0.104199
1539	0.107588
1540	0.105482
1541	0.106568
1542	0.10591
1543	0.099922
1544	0.094856
1545	0.085842
1546	0.084559
1547	0.091994
1548	0.094955
1549	0.094297
1550	0.096764
1551	0.096271
1552	0.103015
1553	0.10137
1554	0.104068
1555	0.10466
1556	0.105713
1557	0.108443
1558	0.111338
1559	0.112293
1560	0.106996
1561	0.103541
1562	0.100548
1563	0.107884
1564	0.100844
1565	0.097587
1566	0.094198
1567	0.093737
1568	0.093408
1569	0.098343
1570	0.100087
1571	0.103081
1572	0.107654
1573	0.109628
1574	0.11249
1575	0.117194
1576	0.118181
1577	0.118708
1578	0.122261
1579	0.123643
1580	0.12838
1581	0.123774
1582	0.1269
1583	0.130025
1584	0.129992
1585	0.132986
1586	0.132821
1587	0.131999
1588	0.135585
1589	0.138941
1590	0.135717
1591	0.134335
1592	0.135223
1593	0.137625
1594	0.144139
1595	0.142428
1596	0.141112
1597	0.142527
1598	0.138743
1599	0.144994
1600	0.140092
1601	0.146047
