Ladekurvenmessung
Zeit: 2018_05_02 15.06.03
Info: FVA3, v = 0.0404, T = 40, F = 20, h = 58.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1
1042	0.000107
1043	4.1e-05
1044	0.00014
1045	0.00014
1046	0.00014
1047	0.00014
1048	8e-06
1049	-2.5e-05
1050	-2.5e-05
1051	-5.8e-05
1052	-9e-05
1053	4.1e-05
1054	7.4e-05
1055	7.4e-05
1056	0.000107
1057	0.00014
1058	0.000107
1059	8e-06
1060	-5.8e-05
1061	8e-06
1062	-5.8e-05
1063	-9e-05
1064	4.1e-05
1065	4.1e-05
1066	0.00014
1067	0.000107
1068	0.00014
1069	0.000107
1070	-2.5e-05
1071	-9e-05
1072	-5.8e-05
1073	-9e-05
1074	-0.000123
1075	8e-06
1076	7.4e-05
1077	7.4e-05
1078	0.000107
1079	0.00014
1080	0.000107
1081	4.1e-05
1082	-5.8e-05
1083	-5.8e-05
1084	-0.000123
1085	-9e-05
1086	8e-06
1087	4.1e-05
1088	0.000107
1089	7.4e-05
1090	0.000107
1091	7.4e-05
1092	4.1e-05
1093	4.1e-05
1094	-9e-05
1095	-2.5e-05
1096	-0.000156
1097	8e-06
1098	4.1e-05
1099	7.4e-05
1100	7.4e-05
1101	0.00014
1102	0.000107
1103	8e-06
1104	-2.5e-05
1105	-9e-05
1106	-5.8e-05
1107	-5.8e-05
1108	8e-06
1109	8e-06
1110	0.00014
1111	0.000107
1112	0.00014
1113	0.000173
1114	7.4e-05
1115	8e-06
1116	-5.8e-05
1117	-9e-05
1118	-2.5e-05
1119	-2.5e-05
1120	0.000107
1121	0.000107
1122	0.00014
1123	0.00014
1124	0.00014
1125	-5.8e-05
1126	-2.5e-05
1127	-2.5e-05
1128	-5.8e-05
1129	-9e-05
1130	8e-06
1131	8e-06
1132	7.4e-05
1133	7.4e-05
1134	0.00014
1135	4.1e-05
1136	7.4e-05
1137	-2.5e-05
1138	-5.8e-05
1139	-0.000123
1140	-2.5e-05
1141	-2.5e-05
1142	8e-06
1143	0.000173
1144	7.4e-05
1145	0.00014
1146	0.00014
1147	4.1e-05
1148	-2.5e-05
1149	-5.8e-05
1150	-9e-05
1151	-2.5e-05
1152	-5.8e-05
1153	7.4e-05
1154	0.00014
1155	0.000107
1156	0.000173
1157	7.4e-05
1158	0.00014
1159	-2.5e-05
1160	-2.5e-05
1161	-5.8e-05
1162	-5.8e-05
1163	-2.5e-05
1164	4.1e-05
1165	7.4e-05
1166	0.00014
1167	0.000107
1168	0.000206
1169	0.000107
1170	-2.5e-05
1171	-2.5e-05
1172	-9e-05
1173	-2.5e-05
1174	-5.8e-05
1175	4.1e-05
1176	7.4e-05
1177	7.4e-05
1178	0.00014
1179	0.000107
1180	7.4e-05
1181	8e-06
1182	-5.8e-05
1183	-2.5e-05
1184	-9e-05
1185	-2.5e-05
1186	4.1e-05
1187	7.4e-05
1188	0.00014
1189	0.000107
1190	0.000107
1191	0.000107
1192	-9e-05
1193	8e-06
1194	-5.8e-05
1195	-9e-05
1196	-5.8e-05
1197	-2.5e-05
1198	4.1e-05
1199	7.4e-05
1200	0.000173
1201	0.00014
1202	4.1e-05
1203	8e-06
1204	-9e-05
1205	-5.8e-05
1206	-9e-05
1207	-5.8e-05
1208	8e-06
1209	4.1e-05
1210	4.1e-05
1211	0.000107
1212	0.00014
1213	0.00014
1214	8e-06
1215	-2.5e-05
1216	-9e-05
1217	-9e-05
1218	-5.8e-05
1219	4.1e-05
1220	4.1e-05
1221	0.00014
1222	0.000107
1223	0.00014
1224	0.000107
1225	4.1e-05
1226	-2.5e-05
1227	-9e-05
1228	-5.8e-05
1229	8e-06
1230	-2.5e-05
1231	0.000107
1232	4.1e-05
1233	0.00014
1234	0.00014
1235	0.000107
1236	8e-06
1237	-2.5e-05
1238	-5.8e-05
1239	-5.8e-05
1240	-5.8e-05
1241	8e-06
1242	8e-06
1243	0.000107
1244	0.000107
1245	0.000107
1246	0.000107
1247	-2.5e-05
